environment,train_accuracy,val_accuracy,train_loss,val_loss,training_time_minutes
CPU - Anvil HPC,0.8420,0.6646,0.3966,0.8273,35.16
GPU - Colab T4,0.8400,0.8063,0.4006,0.4969,16.32
