epoch,accuracy,val_accuracy,loss,val_loss
1,0.435,0.420,1.180,1.240
5,0.602,0.585,0.870,0.910
10,0.690,0.668,0.710,0.760
20,0.762,0.735,0.560,0.630
30,0.810,0.775,0.470,0.550
40,0.835,0.797,0.420,0.515
50,0.840,0.806,0.401,0.497
